1-1 tyt pt HXET
1-2 sxs os GWDS
1-3 rwr nr FVCR
1-4 qvq mq EUBQ
1-5 pup lp DTAP
1-6 oto ko CSZO
1-7 nsn jn BRYN
1-8 mrm im AQXM
1-9 lql hl ZPWL
1-10 kpk gk YOVK
1-11 joj fj XNUJ
1-12 ini ei WMTI
1-13 hmh dh VLSH
1-14 glg cg UKRG
1-15 fkf bf TJQF
1-16 eje ae SIPE
1-17 did zd RHOD
1-18 chc yc QGNC
1-19 bgb xb PFMB
1-20 afa wa OELA
1-21 zez vz NDKZ
1-22 ydy uy MCJY
1-23 xcx tx LBIX
1-24 wbw sw KAHW
1-25 vav rv JZGV
1-26 uzu qu IYFU
3-1 pip fp LZKP
3-2 gzg wg CQBG
3-3 xqx nx THSX
3-4 oho eo KYJO
3-5 fyf vf BPAF
3-6 wpw mw SGRW
3-7 ngn dn JXIN
3-8 exe ue AOZE
3-9 vov lv RFQV
3-10 mfm cm IWHM
3-11 dwd td ZNYD
3-12 unu ku QEPU
3-13 lel bl HVGL
3-14 cvc sc YMXC
3-15 tmt jt PDOT
3-16 kdk ak GUFK
3-17 bub rb XLWB
3-18 sls is OCNS
3-19 jcj zj FTEJ
3-20 ata qa WKVA
3-21 rkr hr NBMR
3-22 ibi yi ESDI
3-23 zsz pz VJUZ
3-24 qjq gq MALQ
3-25 hah xh DRCH
3-26 yry oy UITY
5-1 jkj dj RPGJ
5-2 opo io WULO
5-3 tut nt BZQT
5-4 yzy sy GEVY
5-5 ded xd LJAD
5-6 iji ci QOFI
5-7 non hn VTKN
5-8 sts ms AYPS
5-9 xyx rx FDUX
5-10 cdc wc KIZC
5-11 hih bh PNEH
5-12 mnm gm USJM
5-13 rsr lr ZXOR
5-14 wxw qw ECTW
5-15 bcb vb JHYB
5-16 ghg ag OMDG
5-17 lml fl TRIL
5-18 qrq kq YWNQ
5-19 vwv pv DBSV
5-20 aba ua IGXA
5-21 fgf zf NLCF
5-22 klk ek SQHK
5-23 pqp jp XVMP
5-24 uvu ou CARU
5-25 zaz tz HFWZ
5-26 efe ye MKBE
7-1 zwz rz BHIZ
7-2 khk ck MSTK
7-3 vsv nv XDEV
7-4 gdg yg IOPG
7-5 ror jr TZAR
7-6 czc uc EKLC
7-7 nkn fn PVWN
7-8 yvy qy AGHY
7-9 jgj bj LRSJ
7-10 uru mu WCDU
7-11 fcf xf HNOF
7-12 qnq iq SYZQ
7-13 byb tb DJKB
7-14 mjm em OUVM
7-15 xux px ZFGX
7-16 ifi ai KQRI
7-17 tqt lt VBCT
7-18 ebe we GMNE
7-19 pmp hp RXYP
7-20 axa sa CIJA
7-21 lil dl NTUL
7-22 wtw ow YEFW
7-23 heh zh JPQH
7-24 sps ks UABS
